handle,name,rating,title,text,verified,photo
hero-mask-remote-ring,A**9,4,,"Love the mask completely but the only issue i have is the size i didnt realize i have a bigger head then the size of the mask it makes it harder to budge the zipper down and presses against my nose but overall its cool, i might try find one thats bigger but if tiktok ends up selling ones my size ill be sure to get it until then ill make due with the one i got cuz its still cool, despite the struggles ill have to deal with when putting on the zipper in general of the mask.",yes,
hero-mask-remote-ring,u**n d**k,4,,I love it sm it is very nice i love the fact that it has a usb instead of battery’s My only complaints is the face shell has NO patting so it’s definitely gonna give someone a headache second it has no ventilation in the face so everytime you breathe the lens fog up and make it very very hard to see,yes,
hero-mask-remote-ring,i**h,4,,for this price this product is super fun!! my only issues are not being able to breathe super well and the lens fog up pretty quick but all of that is fixable. the material is super soft and comfortable and the mask slides on very easily. im gonna wear it to the movie at the end of the month!!,yes,
hero-mask-remote-ring,T**4,1,,Theres nothing that holds the mask to your head. The red fabric is not strong enough to hold the front of the mask up to your face. This is a worthless product as it needs some kind of strap attached that properly secures it to your face.,yes,
hero-helmet-11-scale,C**y,1,,Mask came damaged and I tried to reach out for a replacement but customer service was being unprofessional by only responding with emojis and just simply saying “ok” instead of giving me a thorough response about the issue. The lines of the mask were offcentered and one of the eyes didn’t move nor change color.,yes,
hero-helmet-11-scale,J**y b**h,2,,"I just got it today, I was so excited. Until I took off the plastic bag it came in. Box is damaged.. No bubble wrap or anything protecting the mask. Both eyes are scratched.. Right eye has red material going into the eye. It does fit, the functions work. Just loud",yes,
hero-helmet-11-scale,D**n H**s,1,,I understand that you are buying a product off of tick tock. But this is completely b.s. The mask came out of the box broken. The box was like someone returned it and they just sent it to us. The eye just fell off. Would not buy.,yes,
hero-helmet-11-scale,k**w,1,,I ordered the black miles morales mask and I got the tom holland mask instead and when I tried to message the seller my request was denied….i hate paying for shit and not getting what I ordered. Boooooooo 8 thumbs down,yes,
led-purge-mask-glow,O**e I**e w**h D**💸,5,,"This was such an awesome costume! Easy to set up, worked perfectly and shined so bright at night we were so happy with it! We actually bought two of them and they both worked perfectly. The gloves are super cool! Thank you for making our Halloween fun!",yes,
led-purge-mask-glow,j**5,3,,It will work for at least one party I'm not shore on the durability of this product but it is what it is for the price the glove seem like they'll be more durable than the mass but we'll find out,yes,
led-purge-mask-glow,E**I,1,,Box came in broken. I know u can possibly return it for a refund or replacement but I don't have a means of transportation at the moment. Cool looking mask but came in cracked on the forehead,yes,
led-purge-mask-glow,A**a N**a,5,,"Great quality super fun for my teenager for halloween, he will wear it again next year. And bonus and made him super visible at night time.",yes,
floating-candles-20pc,C**e D**s,5,,So cute and easy to set up and made it look so nice and calming. Easy to use with no difficulties.,yes,
floating-candles-20pc,K**y T**h,5,,my favorite halloween decorations i’ve ordered so far this year. i might order one more pack.,yes,
floating-candles-20pc,D**1,5,,Works great and looks great the kids love them. I just wish it came with more string,yes,
floating-candles-20pc,S**r,5,,These are perfect for office decor. Easy set up. Just have to string everything up.,yes,
